Outcome,,,Survival,,,,,NA = MSSING OR LOST
L = ALIVE AS ADULT,,,A = ADULT (COMPLETE),,,,,
N = DIED BEFORE ADULT,,,P = PUPAE (BUT DID NOT EMERGE),,,,,
R = MISSING ONE,,,F = FIFTH (DIED AFTER 5TH BEFORE PUPAE),,,,,
U = SQUISHED ONE,,,T = THIRD (DIED AFTER 3RD DID NOT MAKE IT TO 5TH),,,,,
,,,L = LARVAE (DID NOT MAKE IT TO 3RD),,,,,
