Population,group_mass_g,group_n,mass_g
IR,0.00266,5,0.000532
AL,0.00274,5,0.000548
WI1,0.00258,5,0.000516
MN,0.00248,5,0.000496
WV1,0.00268,5,0.000536
NC1,0.00276,5,0.000552
NC2,0.00252,5,0.000504
